#code	score
1p1q_121	5.52
1p1q_134	5.36
1p1q_169	5.45
1p1q_202	5.4
1p1q_239	5.3
1p1q_255	5.27
1p1q_317	5.5
1p1q_357	5.5
1p1q_358	5.27
1p1q_394	5.41
1p1q_411	5.14
1p1q_412	5.14
1p1q_544	4.92
1p1q_559	4.9
1p1q_560	4.88
1p1q_570	4.89
1p1q_574	5.08
1p1q_578	4.96
1p1q_596	4.95
1p1q_603	5.24
1p1q_604	5.13
1p1q_614	4.92
1p1q_636	5.07
1p1q_640	4.54
1p1q_644	5.0
1p1q_646	5.16
1p1q_664	4.84
1p1q_677	5.01
1p1q_698	5.07
1p1q_713	5.26
1p1q_729	5.25
1p1q_736	5.19
1p1q_740	5.03
1p1q_746	5.11
1p1q_751	4.94
1p1q_759	5.01
1p1q_773	5.14
1p1q_779	5.01
1p1q_785	5.1
1p1q_789	5.01
1p1q_794	5.04
1p1q_848	5.2
1p1q_85	5.26
1p1q_853	5.33
1p1q_860	5.24
1p1q_872	5.1
1p1q_890	5.1
1p1q_892	5.15
1p1q_897	5.21
1p1q_975	5.25
1p1q_ligand	5.45
