#code	score
2weg_106	5.09
2weg_146	5.12
2weg_177	5.08
2weg_20	4.98
2weg_204	5.0
2weg_21	4.92
2weg_218	5.09
2weg_248	4.98
2weg_301	4.87
2weg_314	5.09
2weg_335	5.0
2weg_343	4.75
2weg_371	5.12
2weg_385	5.07
2weg_387	5.04
2weg_390	4.98
2weg_407	4.77
2weg_415	4.58
2weg_419	4.65
2weg_437	4.66
2weg_443	4.49
2weg_447	4.42
2weg_468	4.67
2weg_472	4.77
2weg_476	4.73
2weg_502	4.6
2weg_515	4.71
2weg_517	4.49
2weg_518	4.37
2weg_52	5.04
2weg_520	4.29
2weg_525	4.43
2weg_530	4.65
2weg_542	4.52
2weg_566	4.5
2weg_579	4.22
2weg_582	4.36
2weg_592	4.69
2weg_598	4.59
2weg_599	4.66
2weg_604	4.73
2weg_614	4.7
2weg_620	4.62
2weg_632	4.62
2weg_643	4.41
2weg_644	4.63
2weg_653	4.62
2weg_666	4.35
2weg_674	4.34
2weg_686	4.27
2weg_699	4.48
2weg_765	4.48
2weg_776	4.71
2weg_784	4.47
2weg_785	4.64
2weg_80	4.96
2weg_838	5.01
2weg_ligand	4.99
