#code	score
2wnc_127	6.21
2wnc_168	5.47
2wnc_267	6.22
2wnc_302	6.21
2wnc_35	6.26
2wnc_370	6.23
2wnc_437	5.93
2wnc_458	6.09
2wnc_473	5.63
2wnc_474	5.42
2wnc_48	6.22
2wnc_498	6.1
2wnc_514	5.69
2wnc_519	5.6
2wnc_525	5.75
2wnc_527	5.23
2wnc_532	5.78
2wnc_536	5.58
2wnc_537	5.48
2wnc_538	5.09
2wnc_539	5.53
2wnc_541	5.35
2wnc_542	5.1
2wnc_554	5.3
2wnc_557	5.49
2wnc_558	4.95
2wnc_561	5.52
2wnc_564	4.73
2wnc_575	4.89
2wnc_578	5.37
2wnc_582	4.97
2wnc_585	5.42
2wnc_587	5.2
2wnc_589	5.25
2wnc_594	5.82
2wnc_595	5.92
2wnc_597	5.22
2wnc_599	5.92
2wnc_600	5.67
2wnc_632	5.73
2wnc_636	5.18
2wnc_645	5.08
2wnc_647	5.72
2wnc_661	5.6
2wnc_664	5.7
2wnc_681	5.32
2wnc_689	5.8
2wnc_702	6.25
2wnc_717	6.2
2wnc_722	6.09
2wnc_723	5.94
2wnc_728	5.47
2wnc_732	5.62
2wnc_734	5.34
2wnc_737	6.12
2wnc_741	6.12
2wnc_744	6.22
2wnc_747	6.22
2wnc_752	6.31
2wnc_754	5.26
2wnc_755	6.12
2wnc_757	5.97
2wnc_760	5.3
2wnc_763	5.15
2wnc_766	5.41
2wnc_770	5.67
2wnc_776	5.34
2wnc_779	6.05
2wnc_780	5.65
2wnc_781	5.28
2wnc_796	6.19
2wnc_825	6.18
2wnc_828	6.17
2wnc_848	5.95
2wnc_849	6.08
2wnc_853	5.35
2wnc_856	5.53
2wnc_860	6.22
2wnc_862	5.33
2wnc_868	5.59
2wnc_872	6.36
2wnc_874	5.73
2wnc_879	5.15
2wnc_891	6.24
2wnc_903	6.24
2wnc_915	6.04
2wnc_928	6.1
2wnc_951	6.23
2wnc_952	6.06
2wnc_969	6.16
2wnc_972	6.28
2wnc_981	6.18
2wnc_99	6.15
2wnc_ligand	6.2
