#code	score
3b68_121	8.01
3b68_126	7.96
3b68_192	7.86
3b68_228	7.86
3b68_269	7.77
3b68_291	7.89
3b68_304	8.1
3b68_405	6.85
3b68_410	6.8
3b68_418	6.79
3b68_423	7.03
3b68_430	6.98
3b68_438	6.75
3b68_439	6.98
3b68_441	6.97
3b68_446	6.89
3b68_459	6.79
3b68_467	7.19
3b68_475	6.64
3b68_484	6.68
3b68_549	6.62
3b68_558	6.78
3b68_564	6.52
3b68_573	6.81
3b68_574	6.92
3b68_580	7.35
3b68_591	6.71
3b68_605	7.14
3b68_626	6.97
3b68_627	6.84
3b68_644	6.68
3b68_665	6.58
3b68_678	6.88
3b68_683	6.83
3b68_685	6.81
3b68_686	6.83
3b68_687	6.81
3b68_696	6.72
3b68_714	7.87
3b68_753	7.96
3b68_756	7.89
3b68_763	7.89
3b68_772	6.99
3b68_774	6.89
3b68_776	6.83
3b68_778	6.64
3b68_779	6.62
3b68_780	6.64
3b68_781	6.18
3b68_782	6.7
3b68_783	6.48
3b68_784	6.75
3b68_865	7.77
3b68_884	7.73
3b68_904	7.83
3b68_922	7.84
3b68_947	7.88
3b68_962	7.68
3b68_965	7.83
3b68_99	7.93
3b68_ligand	7.96
