#code	score
3e5a_102	6.78
3e5a_106	6.83
3e5a_116	6.59
3e5a_129	6.99
3e5a_140	6.79
3e5a_143	6.32
3e5a_156	6.41
3e5a_157	6.24
3e5a_175	6.91
3e5a_209	6.85
3e5a_211	6.91
3e5a_217	6.81
3e5a_226	6.83
3e5a_229	6.75
3e5a_231	6.88
3e5a_247	6.8
3e5a_285	7.07
3e5a_286	6.9
3e5a_297	6.78
3e5a_305	7.02
3e5a_313	7.07
3e5a_315	6.55
3e5a_332	6.5
3e5a_333	6.39
3e5a_345	7.08
3e5a_362	7.17
3e5a_372	7.1
3e5a_398	7.07
3e5a_413	6.33
3e5a_414	6.4
3e5a_420	6.11
3e5a_421	6.49
3e5a_431	6.63
3e5a_434	5.92
3e5a_436	6.56
3e5a_442	6.33
3e5a_456	6.54
3e5a_458	6.4
3e5a_467	6.3
3e5a_468	6.71
3e5a_487	6.29
3e5a_488	6.34
3e5a_49	7.08
3e5a_490	6.39
3e5a_491	6.63
3e5a_535	6.61
3e5a_541	6.29
3e5a_555	5.76
3e5a_566	6.18
3e5a_576	6.18
3e5a_577	5.8
3e5a_578	6.0
3e5a_581	5.95
3e5a_602	6.5
3e5a_606	6.3
3e5a_629	6.38
3e5a_652	5.52
3e5a_659	5.31
3e5a_668	5.53
3e5a_671	5.67
3e5a_676	6.41
3e5a_683	6.4
3e5a_688	5.67
3e5a_69	7.0
3e5a_693	5.79
3e5a_696	5.71
3e5a_698	6.59
3e5a_720	6.81
3e5a_726	6.9
3e5a_744	6.54
3e5a_745	6.72
3e5a_749	6.33
3e5a_759	6.75
3e5a_761	6.06
3e5a_762	5.99
3e5a_765	5.89
3e5a_766	5.93
3e5a_787	6.94
3e5a_799	6.68
3e5a_855	6.87
3e5a_857	6.22
3e5a_86	6.36
3e5a_868	6.12
3e5a_90	6.01
3e5a_902	6.9
3e5a_91	6.25
3e5a_910	6.81
3e5a_94	5.87
3e5a_ligand	7.06
