#code	score
3syr_105	5.82
3syr_225	5.45
3syr_251	5.43
3syr_330	5.8
3syr_408	5.45
3syr_412	5.44
3syr_413	5.35
3syr_416	5.3
3syr_448	5.38
3syr_452	4.98
3syr_46	5.8
3syr_462	5.23
3syr_47	5.86
3syr_477	5.27
3syr_484	5.17
3syr_499	5.25
3syr_500	5.1
3syr_523	4.97
3syr_533	5.31
3syr_539	5.16
3syr_545	5.16
3syr_550	5.07
3syr_552	5.17
3syr_557	5.14
3syr_563	4.65
3syr_564	5.38
3syr_577	5.11
3syr_582	5.08
3syr_593	4.98
3syr_594	5.24
3syr_596	5.46
3syr_599	5.1
3syr_600	5.31
3syr_609	5.15
3syr_614	5.09
3syr_617	5.07
3syr_618	5.21
3syr_621	5.28
3syr_622	5.25
3syr_627	5.31
3syr_629	5.45
3syr_631	5.16
3syr_633	5.23
3syr_636	5.24
3syr_647	5.19
3syr_648	5.36
3syr_658	4.94
3syr_659	5.29
3syr_679	5.46
3syr_692	5.25
3syr_695	5.25
3syr_697	5.09
3syr_699	5.07
3syr_746	5.64
3syr_748	5.47
3syr_752	5.59
3syr_759	5.36
3syr_762	5.55
3syr_772	5.32
3syr_823	5.59
3syr_862	5.74
3syr_88	5.71
3syr_93	5.79
3syr_969	5.77
3syr_ligand	5.97
