#code	score
4djv_105	6.84
4djv_136	6.71
4djv_159	6.34
4djv_164	7.07
4djv_17	6.08
4djv_175	6.85
4djv_2	6.19
4djv_21	5.95
4djv_212	7.05
4djv_29	5.84
4djv_314	6.73
4djv_33	6.47
4djv_335	6.93
4djv_336	6.98
4djv_349	7.11
4djv_380	7.01
4djv_388	7.14
4djv_399	7.05
4djv_401	6.18
4djv_402	6.09
4djv_406	6.03
4djv_412	6.05
4djv_416	6.08
4djv_421	6.25
4djv_422	6.28
4djv_427	6.12
4djv_431	6.13
4djv_433	5.61
4djv_434	6.35
4djv_436	5.76
4djv_438	6.18
4djv_446	6.12
4djv_447	6.1
4djv_452	6.0
4djv_457	5.7
4djv_467	5.43
4djv_476	6.49
4djv_483	5.56
4djv_491	6.27
4djv_492	6.27
4djv_496	5.99
4djv_497	6.13
4djv_521	5.96
4djv_533	5.44
4djv_544	6.2
4djv_546	6.25
4djv_551	5.99
4djv_557	6.52
4djv_561	5.89
4djv_563	5.83
4djv_570	5.47
4djv_58	6.36
4djv_584	6.02
4djv_590	6.12
4djv_592	6.39
4djv_607	6.25
4djv_612	5.53
4djv_615	6.27
4djv_617	5.74
4djv_637	5.86
4djv_640	5.74
4djv_650	5.82
4djv_659	5.83
4djv_661	5.64
4djv_666	6.1
4djv_672	6.25
4djv_675	5.85
4djv_676	5.47
4djv_677	6.23
4djv_687	5.72
4djv_694	6.05
4djv_696	6.2
4djv_7	6.96
4djv_701	7.08
4djv_823	5.37
4djv_830	5.39
4djv_900	5.18
4djv_913	5.61
4djv_923	5.64
4djv_957	5.67
4djv_97	6.31
4djv_ligand	7.06
