#code	score
4w9c_172	5.98
4w9c_186	6.49
4w9c_249	6.61
4w9c_326	6.61
4w9c_333	6.1
4w9c_36	6.22
4w9c_363	5.8
4w9c_372	6.19
4w9c_379	6.57
4w9c_381	6.38
4w9c_405	5.83
4w9c_415	5.48
4w9c_420	5.43
4w9c_423	5.57
4w9c_432	5.24
4w9c_446	5.5
4w9c_450	5.06
4w9c_452	5.05
4w9c_456	5.43
4w9c_457	5.48
4w9c_460	5.85
4w9c_462	5.33
4w9c_473	5.63
4w9c_476	5.92
4w9c_477	5.61
4w9c_48	5.65
4w9c_483	5.43
4w9c_486	5.22
4w9c_487	5.76
4w9c_490	5.97
4w9c_494	5.4
4w9c_499	6.2
4w9c_513	5.03
4w9c_516	5.55
4w9c_520	5.25
4w9c_528	5.55
4w9c_533	5.2
4w9c_538	5.69
4w9c_543	5.59
4w9c_545	5.35
4w9c_546	4.95
4w9c_550	5.14
4w9c_556	5.06
4w9c_558	4.83
4w9c_560	5.53
4w9c_561	4.85
4w9c_562	5.61
4w9c_567	5.17
4w9c_569	5.42
4w9c_580	5.02
4w9c_59	5.81
4w9c_594	4.98
4w9c_597	5.66
4w9c_6	5.75
4w9c_603	5.61
4w9c_604	5.52
4w9c_613	5.47
4w9c_623	5.32
4w9c_628	5.52
4w9c_636	5.64
4w9c_637	5.84
4w9c_638	5.95
4w9c_639	5.73
4w9c_642	5.51
4w9c_646	5.61
4w9c_660	5.21
4w9c_661	5.35
4w9c_664	5.83
4w9c_670	5.31
4w9c_677	5.15
4w9c_683	5.66
4w9c_691	5.26
4w9c_695	5.39
4w9c_697	5.62
4w9c_699	5.51
4w9c_7	5.73
4w9c_712	6.58
4w9c_719	6.64
4w9c_720	6.51
4w9c_732	6.15
4w9c_735	5.78
4w9c_739	5.38
4w9c_758	6.09
4w9c_765	5.89
4w9c_768	5.99
4w9c_772	5.64
4w9c_777	5.78
4w9c_778	5.56
4w9c_806	5.92
4w9c_85	5.9
4w9c_854	5.59
4w9c_906	6.53
4w9c_925	6.56
4w9c_955	6.36
4w9c_963	5.77
4w9c_968	5.42
4w9c_ligand	6.39
